"file","count"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\matches\\pages\\matches\\matches.dart","18"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\favourites\\pages\\favourites_page\\favourites_page\\player\\details\\squad_list.dart","17"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\matches\\pages\\matches\\match_detail\\H2HMatchList.dart","17"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\matches\\pages\\matches\\match_results_list.dart","16"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\news\\pages\\news\\foryou\\foryou.dart","15"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\tv\\pages\\Tv\\highlight\\highlight.dart","15"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\leagues\\pages\\league_top_players.dart","14"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\standing\\pages\\standing\\leagues_page\\fixtures\\fixtures_view.dart","14"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\bloc\\mirchaweche\\teams\\previous&next_matchs\\matches_bloc.dart","14"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\news\\pages\\news\\transfer_news\\top_transfer\\transfer\\All_transfer.dart","13"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\bloc\\standings\\bloc\\content_bloc.dart","13"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\tv\\pages\\Tv\\live_tv\\live_tv.dart","13"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\enadamt\\pages\\enadamt\\podcast_card.dart","13"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\application\\set_preference\\set_preference_bloc.dart","13"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\navigation\\pages\\quiz\\question_widget.dart","13"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\favourites\\pages\\favourites_page\\favourites_page\\player\\details\\details_row.dart","12"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\auth\\pages\\phone_login.dart","12"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\standing\\pages\\standing\\standings_page.dart","12"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\standing\\pages\\standing\\leagues_page\\wc_qualification\\continents.dart","12"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\onboarding\\pages\\introduction_page.dart","12"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\standing\\pages\\standing\\leagues_page\\shared_pages\\shared_leagues_table_view.dart","12"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\bloc\\social_media\\social_media_bloc.dart","11"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\tv\\pages\\Tv\\highlight\\highlight-other-card.dart","11"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\payment\\pages\\phone_pay.dart","11"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\matches\\pages\\matches\\match_detail\\stat\\team_stat.dart","11"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\enadamt\\pages\\enadamt\\enadamt_new.dart","11"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\standing\\pages\\standing\\leagues_page\\pagedown\\semi_final.dart","10"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\standing\\pages\\standing\\leagues_page\\pageup\\semi_final.dart","10"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\standing\\pages\\standing\\leagues_page\\Multiple_Table_Leagues\\multiple_table_table_view.dart","10"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\payment\\pages\\payment_page.dart","10"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\auth\\pages\\login.dart","10"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\tv\\pages\\Tv\\live_tv\\live-special-card.dart","10"
"C:\\Users\\user\\Documents\\frontend\\lib\\services\\fcm_service.dart","9"
"C:\\Users\\user\\Documents\\frontend\\lib\\presentation\\userPreferencesPage.dart","9"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\favourites\\pages\\favourites_page\\favourites_page\\player\\statistics\\stat_drop_down.dart","9"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\leagues\\pages\\League_news.dart","9"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\news\\pages\\news\\main_news\\widgets\\podcast_live_floating.dart","9"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\bloc\\availableSeasons\\available_seasons_bloc.dart","9"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\tv\\pages\\Tv\\highlight\\highlight-special-card.dart","9"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\tv\\pages\\Tv\\tv.dart","9"
"C:\\Users\\user\\Documents\\frontend\\lib\\data\\repositories\\news_repository.dart","8"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\news\\pages\\news\\transfer_news\\top_transfer\\transfer\\Transfertab.dart","8"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\news\\pages\\news\\transfer_news\\top_transfer\\transfer\\transfer_bloc.dart","8"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\leagues\\pages\\scorer_row.dart","8"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\matches\\pages\\matches\\leagueMatchesView.dart","8"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\news\\pages\\news\\main_news\\widgets\\player_news.dart","8"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\news\\pages\\news\\foryou\\horizontal_scroll_for_you.dart","8"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\auth\\pages\\country_picker.dart","8"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\news\\pages\\news\\saved_news.dart","8"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\news\\pages\\news\\main_news\\widgets\\team_news.dart","8"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\bloc\\news\\news_cache_manager.dart","8"
"C:\\Users\\user\\Documents\\frontend\\lib\\shared\\widgets\\match_detail\\homeandawayTeamScore.dart","8"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\tv\\pages\\Tv\\live_tv\\live-other-card.dart","8"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\application\\matchdetail\\head_to_head\\head_to_head_bloc.dart","8"
"C:\\Users\\user\\Documents\\frontend\\lib\\models\\ads.dart","8"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\onboarding\\pages\\entrypage.dart","8"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\leagues\\pages\\player_details_dialog.dart","8"
"C:\\Users\\user\\Documents\\frontend\\lib\\shared\\widgets\\custom_app_bar.dart","8"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\onboarding\\pages\\team.dart","8"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\navigation\\pages\\user_notifications.dart","7"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\application\\Favourite_team\\favouriteteam_bloc.dart","7"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\standing\\pages\\standing\\leagues_page\\fixtures\\fixures_list.dart","7"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\onboarding\\pages\\device_info.dart","7"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\payment\\pages\\notification_payment.dart","7"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\bloc\\mirchaweche\\my_fav\\my_fav_team\\myfavouriteteams_bloc.dart","7"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\standing\\pages\\standing\\leagues_page\\Standing\\formItem_last_5.dart","7"
"C:\\Users\\user\\Documents\\frontend\\lib\\shared\\widgets\\match_detail\\lineupWgt.dart","7"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\standing\\pages\\standing\\leagues_page\\pagedown\\quarterfinal.dart","7"
"C:\\Users\\user\\Documents\\frontend\\lib\\data\\repositories\\standing_repo.dart","7"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\standing\\pages\\standing\\leagues_page\\top_scorers\\top_red_card.dart","7"
"C:\\Users\\user\\Documents\\frontend\\lib\\models\\fixtures\\stat.dart","7"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\application\\favourite_player\\PlayerSelection_bloc.dart","7"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\tv\\pages\\Tv\\live_tv\\live_tv_player.dart","7"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\favourites\\pages\\favourites_page\\favourites_page\\player\\matches_view\\matches\\matches_view.dart","7"
"C:\\Users\\user\\Documents\\frontend\\lib\\shared\\widgets\\match_detail\\details\\shots.dart","6"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\news\\pages\\news\\main_news\\widgets\\recent_highlights_section.dart","6"
"C:\\Users\\user\\Documents\\frontend\\lib\\features\\matches\\pages\\matches\\match_detail\\head_to_head.dart","6"
"C:\\Users\\user\\Documents\\frontend\\lib\\state\\application\\auth\\auth_bloc.dart","6"
