key,english_default,example_usage_files
selectPaymentMethod,,lib/pages/payment/payment_choice.dart
telebirr,,lib/pages/payment/telebirr.dart
chapaPayments,,lib/pages/payment/payment_choice.dart
creditDebitCard,,lib/pages/payment/payment_choice.dart
verifyAndPay,,lib/pages/payment/telebirr.dart
enterOTP,,lib/pages/payment/telebirr.dart
getOTP,,lib/pages/payment/telebirr.dart
telebirrPayment,,lib/pages/payment/telebirr.dart
money,,lib/pages/payment/payment_page.dart
continueText,,lib/pages/payment/payment_page.dart
bestValue,,lib/localization/demo_localization.dart
year,,lib/localization/demo_localization.dart
month,,lib/pages/payment/payment_page.dart
months,,lib/pages/payment/payment_page.dart
dailyPass,,lib/pages/payment/payment_page.dart
dismiss,,lib/pages/payment/notification_payment.dart
socialmediatitle,,lib/localization/demo_localization.dart
loadingPlayers,,lib/localization/demo_localization.dart
socialmediabody,,lib/localization/demo_localization.dart
allownotificationtitle,,lib/localization/demo_localization.dart
allownotificationbody,,lib/localization/demo_localization.dart
notificationTitle,,lib/localization/demo_localization.dart
notificationBody,,lib/localization/demo_localization.dart
your_favourite_player,,lib/localization/demo_localization.dart
choose_your_fav_player,,lib/localization/demo_localization.dart
searchByName,,lib/pages/bottom_navigation/favourites_page/favourites_page/player/player_search_page.dart
players,,lib/presentation/userPreferencesPage.dart
selected,,lib/localization/demo_localization.dart
networkProblem,,lib/pages/login/login.dart
tryAgain,,lib/pages/navigation/quiz/quiz.dart
favouriteTeam,,lib/presentation/userPreferencesPage.dart
pressTheStar,,lib/localization/demo_localization.dart
teamSelected,,lib/localization/demo_localization.dart
ethiopia,,lib/localization/demo_localization.dart
england,,lib/localization/demo_localization.dart
spain,,lib/localization/demo_localization.dart
italy,,lib/localization/demo_localization.dart
germany,,lib/localization/demo_localization.dart
france,,lib/localization/demo_localization.dart
saudi,,lib/localization/demo_localization.dart
turkey,,lib/localization/demo_localization.dart
southAfrica,,lib/localization/demo_localization.dart
egypt,,lib/localization/demo_localization.dart
usa,,lib/localization/demo_localization.dart
netherland,,lib/localization/demo_localization.dart
belgium,,lib/localization/demo_localization.dart
portugal,,lib/localization/demo_localization.dart
scotland,,lib/localization/demo_localization.dart
qatar,,lib/localization/demo_localization.dart
networkproblem,,lib/localization/demo_localization.dart
tryagain,,lib/localization/demo_localization.dart
welcome,,lib/localization/demo_localization.dart
welcomebody,,lib/localization/demo_localization.dart
soccerWearTitle,,lib/localization/demo_localization.dart
soccerWearBody,,lib/localization/demo_localization.dart
videoHighlightsTitle,,lib/localization/demo_localization.dart
videoHighlightsBody,,lib/localization/demo_localization.dart
News_intro_Title,,lib/localization/demo_localization.dart
News_intro_body,,lib/localization/demo_localization.dart
stayAheadTitle,,lib/localization/demo_localization.dart
stayAheadBody,,lib/localization/demo_localization.dart
leaguesListTitle,,lib/localization/demo_localization.dart
leaguesListBody,,lib/localization/demo_localization.dart
podcastsTitle,,lib/localization/demo_localization.dart
podcastsBody,,lib/localization/demo_localization.dart
nextButton,,lib/localization/demo_localization.dart
clubstitle,,lib/localization/demo_localization.dart
clubsbody,,lib/localization/demo_localization.dart
leaguestitle,,lib/localization/demo_localization.dart
leaguesbody,,lib/localization/demo_localization.dart
settings,,lib/pages/navigation/settings_page.dart
Try_testa_App_for_14_days_for_free,,lib/localization/demo_localization.dart
clean_sheet,,lib/localization/demo_localization.dart
saved,,lib/localization/demo_localization.dart
goals_ontarget,,lib/localization/demo_localization.dart
shots,,lib/localization/demo_localization.dart
headed,,lib/localization/demo_localization.dart
clearance,,lib/localization/demo_localization.dart
goalkeeper,,lib/localization/demo_localization.dart
centerBack,,lib/localization/demo_localization.dart
rightBack,,lib/localization/demo_localization.dart
